Date,Open,High,Low,Close,Volume
2024-01-02,100.00,101.50,99.50,101.00,1500000
2024-01-03,101.00,102.00,100.00,101.50,1200000
2024-01-04,101.50,103.00,101.00,102.50,1800000
2024-01-05,102.50,103.50,101.50,103.00,1600000
2024-01-08,103.00,104.00,102.00,103.50,1400000
2024-01-09,103.50,105.00,103.00,104.50,2000000
2024-01-10,104.50,105.50,103.50,105.00,1700000
2024-01-11,105.00,106.00,104.00,105.50,1500000
2024-01-12,105.50,107.00,105.00,106.50,1900000
2024-01-15,106.50,108.00,106.00,107.50,2100000
2024-01-16,107.50,108.50,106.50,108.00,1800000
2024-01-17,108.00,109.00,107.00,108.50,1600000
2024-01-18,108.50,110.00,108.00,109.50,2200000
2024-01-19,109.50,111.00,109.00,110.50,2000000
2024-01-22,110.50,111.50,109.50,110.00,1700000
2024-01-23,110.00,111.00,108.50,109.00,1900000
2024-01-24,109.00,110.00,108.00,108.50,1500000
2024-01-25,108.50,109.50,107.50,108.00,1400000
2024-01-26,108.00,109.00,107.00,107.50,1300000
2024-01-29,107.50,108.50,106.50,107.00,1600000
2024-01-30,107.00,108.00,105.50,106.00,1800000
2024-01-31,106.00,107.00,105.00,105.50,1500000
2024-02-01,105.50,107.00,105.00,106.50,1700000
2024-02-02,106.50,108.00,106.00,107.50,1900000
2024-02-05,107.50,109.00,107.00,108.50,2000000
2024-02-06,108.50,110.00,108.00,109.50,2100000
2024-02-07,109.50,111.00,109.00,110.50,2200000
2024-02-08,110.50,112.00,110.00,111.50,2400000
2024-02-09,111.50,113.00,111.00,112.50,2300000
2024-02-12,112.50,114.00,112.00,113.50,2500000
2024-02-13,113.50,115.00,113.00,114.50,2600000
2024-02-14,114.50,116.00,114.00,115.50,2700000
2024-02-15,115.50,117.00,114.50,116.00,2500000
2024-02-16,116.00,117.50,115.00,116.50,2400000
2024-02-19,116.50,118.00,115.50,117.00,2300000
2024-02-20,117.00,118.50,116.00,117.50,2200000
2024-02-21,117.50,119.00,116.50,118.00,2400000
2024-02-22,118.00,119.50,117.00,118.50,2500000
2024-02-23,118.50,120.00,117.50,119.00,2600000
2024-02-26,119.00,120.50,118.00,119.50,2400000
2024-02-27,119.50,121.00,118.50,120.00,2500000
2024-02-28,120.00,121.50,119.00,120.50,2600000
2024-02-29,120.50,122.00,119.50,121.00,2700000
2024-03-01,121.00,122.50,120.00,121.50,2800000
2024-03-04,121.50,123.00,120.50,122.00,2600000
2024-03-05,122.00,123.50,121.00,122.50,2500000
2024-03-06,122.50,124.00,121.50,123.00,2700000
2024-03-07,123.00,124.50,122.00,123.50,2800000
2024-03-08,123.50,125.00,122.50,124.00,2900000
2024-03-11,124.00,125.50,123.00,124.50,2700000
2024-03-12,124.50,126.00,123.50,125.00,2800000
2024-03-13,125.00,126.50,124.00,125.50,2900000
2024-03-14,125.50,127.00,124.50,126.00,3000000
2024-03-15,126.00,127.50,125.00,126.50,2800000
2024-03-18,126.50,128.00,125.50,127.00,2900000
2024-03-19,127.00,128.50,126.00,127.50,3000000
2024-03-20,127.50,129.00,126.50,128.00,3100000
2024-03-21,128.00,129.50,127.00,128.50,2900000
2024-03-22,128.50,130.00,127.50,129.00,3000000
2024-03-25,129.00,130.50,128.00,129.50,3100000
2024-03-26,129.50,131.00,128.50,130.00,3200000
2024-03-27,130.00,131.50,129.00,130.50,3000000
2024-03-28,130.50,132.00,129.50,131.00,3100000
2024-04-01,131.00,132.50,130.00,131.50,3200000
2024-04-02,131.50,133.00,130.50,132.00,3300000
2024-04-03,132.00,133.50,131.00,132.50,3100000
2024-04-04,132.50,134.00,131.50,133.00,3200000
2024-04-05,133.00,134.50,132.00,133.50,3300000
2024-04-08,133.50,135.00,132.50,134.00,3400000
2024-04-09,134.00,135.50,133.00,134.50,3200000
2024-04-10,134.50,136.00,133.50,135.00,3300000
2024-04-11,135.00,136.50,134.00,135.50,3400000
2024-04-12,135.50,137.00,134.50,136.00,3500000
2024-04-15,136.00,137.50,135.00,136.50,3300000
2024-04-16,136.50,138.00,135.50,137.00,3400000
2024-04-17,137.00,138.50,136.00,137.50,3500000
2024-04-18,137.50,139.00,136.50,138.00,3600000
2024-04-19,138.00,139.50,137.00,138.50,3400000
2024-04-22,138.50,140.00,137.50,139.00,3500000
2024-04-23,139.00,140.50,138.00,139.50,3600000
2024-04-24,139.50,141.00,138.50,140.00,3700000
2024-04-25,140.00,141.50,139.00,140.50,3500000
2024-04-26,140.50,142.00,139.50,141.00,3600000
2024-04-29,141.00,142.50,140.00,141.50,3700000
2024-04-30,141.50,143.00,140.50,142.00,3800000
2024-05-01,142.00,143.50,141.00,142.50,3600000
2024-05-02,142.50,144.00,141.50,143.00,3700000
2024-05-03,143.00,144.50,142.00,143.50,3800000
2024-05-06,143.50,145.00,142.50,144.00,3900000
2024-05-07,144.00,145.50,143.00,144.50,3700000
2024-05-08,144.50,146.00,143.50,145.00,3800000
2024-05-09,145.00,146.50,144.00,145.50,3900000
2024-05-10,145.50,147.00,144.50,146.00,4000000
2024-05-13,146.00,147.50,145.00,146.50,3800000
2024-05-14,146.50,148.00,145.50,147.00,3900000
2024-05-15,147.00,148.50,146.00,147.50,4000000
2024-05-16,147.50,149.00,146.50,148.00,4100000
2024-05-17,148.00,149.50,147.00,148.50,3900000
2024-05-20,148.50,150.00,147.50,149.00,4000000
2024-05-21,149.00,150.50,148.00,149.50,4100000
2024-05-22,149.50,151.00,148.50,150.00,4200000
